,time,cpu_cores,pod,cpu_unit,memory_bytes,memory_unit,cpu_usage_nanocores,memory_working_set_bytes
158,1682733600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,13875981.108333332,22443793.066666663
159,1682730000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,12196228.083333334,22361736.533333335
160,1682726400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,10261918.658333331,22686412.8
161,1682722800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,8162322.283333333,22664908.8
162,1682719200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,6189651.716666667,23333990.4
163,1682715600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,5088428.958333333,24017271.466666665
164,1682712000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,4005661.9833333334,26038203.733333334
165,1682708400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3470570.7083333335,26913143.466666665
166,1682704800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3408335.15,26624682.666666668
167,1682701200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3568940.966666667,26041344.0
168,1682697600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3965560.65,25576721.066666663
169,1682694000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,4564521.408333333,25238493.866666667
170,1682690400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,5437933.816666666,24445371.733333334
171,1682686800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,7037545.516666667,23445401.6
172,1682683200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,8332907.133333334,22737339.733333334
173,1682679600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,10000287.383333333,22451882.666666668
174,1682676000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,12936429.808333334,22501307.733333334
175,1682672400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,15871098.191666666,22383820.8
176,1682668800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14787608.366666667,22237559.466666665
177,1682665200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,13105669.5,22467993.6
178,1682661600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,12080495.041666666,22460859.733333334
179,1682658000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,11862718.633333333,22368392.533333335
180,1682654400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,12050470.766666668,22444168.533333335
181,1682650800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,12030209.833333334,22607462.4
182,1682647200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,11185151.466666669,23113625.6
183,1682643600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,10055938.825,23123421.866666667
